Jun 28 10:15:23 rx10025878 syslogd: restart
Jun 28 10:15:34 nto login: ROOT LOGIN (root) ON ttyp0 FROM 192.168.125.100
Jun 28 10:15:38 nto CI: INFO	rxsetup.sh	--uptime 
Jun 28 10:15:39 nto CI: INFO	sysinfo.sh	Release name: SolarMax RX 1.2.0.7224.trunk  Release build date: Wed Nov 26 07:24:17 CET 2014 
Jun 28 10:15:39 nto CI: INFO	sysinfo.sh	Firmware IU: 1.2.0.7224.trunk  CI: 1.2.0.7224.trunk 
Jun 28 10:15:39 nto CI: INFO	sysinfo.sh	Firmware PU1: 1.2.0.7224.0xFA5E94B4BBC77129.release 
Jun 28 10:15:40 nto CI: INFO	sysinfo.sh	Firmware PU2: 1.2.0.7224.0xFA5E94B4BBC77129.release 
Jun 28 10:15:40 nto CI: INFO	sysinfo.sh	Firmware PU3: 1.2.0.7224.0xFA5E94B4BBC77129.release 
Jun 28 10:15:40 nto CI: INFO	sysinfo.sh	Firmware PU4: 1.2.0.7224.0xFA5E94B4BBC77129.release 
Jun 28 10:15:41 nto CI: INFO	sysinfo.sh	Uptime: uptime is 0 days 09:14:24 
Jun 28 10:15:49 nto CI: INFO	sd	sd: READ - </configuration> Key Id 1121 (DATA_KEY_ID_PU1_STATUS) <Uint32> == 20008
Jun 28 10:15:49 nto CI: INFO	sd	sd: READ - </configuration> Key Id 1221 (DATA_KEY_ID_PU2_STATUS) <Uint32> == 20008
Jun 28 10:15:49 nto CI: INFO	sd	sd: READ - </configuration> Key Id 1321 (DATA_KEY_ID_PU3_STATUS) <Uint32> == 20008
Jun 28 10:15:50 nto CI: INFO	sd	sd: READ - </configuration> Key Id 1421 (DATA_KEY_ID_PU4_STATUS) <Uint32> == 20008
Jun 28 10:15:50 nto CI: INFO	sd	sd: READ - </configuration> Key Id 1003 (DATA_KEY_ID_INVERTER_STATUS) <Uint32> == 20008
Jun 28 10:15:57 nto CI: INFO	sd	sd: READ - </configuration> Key Id 1105 (DATA_KEY_ID_PU1_PAC) <Float32> == 91139.000000
Jun 28 10:15:57 nto CI: INFO	sd	sd: READ - </configuration> Key Id 1205 (DATA_KEY_ID_PU2_PAC) <Float32> == 89261.500000
Jun 28 10:15:58 nto CI: INFO	sd	sd: READ - </configuration> Key Id 1305 (DATA_KEY_ID_PU3_PAC) <Float32> == 101468.000000
Jun 28 10:15:58 nto CI: INFO	sd	sd: READ - </configuration> Key Id 1405 (DATA_KEY_ID_PU4_PAC) <Float32> == 98753.500000
Jun 28 10:15:59 nto CI: INFO	sd	sd: READ - </configuration> Key Id 1000 (DATA_KEY_ID_INVERTER_PAC_TOTAL) <Float32> == 380580.500000
Jun 28 10:17:16 nto PU3: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 658 Idc: 158 Pdc: 104039 Pac: 101641 Wh: 8470 IdLim: 1.00 Phi: 0.00 
Jun 28 10:17:16 nto PU3: INFO	System	PLog2 300000 ms: tL1: 58 tL2: 58 tL3: 58 tCb: 50 tAc: 31 tDc: 23 
Jun 28 10:17:16 nto PU3: INFO	System	PLog3 300000 ms: iL1: 151 iL2: 151 iL3: 151 vL12: 387 vL23: 387 vL31: 387 f: 50.00 
Jun 28 10:17:16 nto PU4: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 658 Idc: 154 Pdc: 101364 Pac: 98815 Wh: 8234 IdLim: 1.00 Phi: 0.00 
Jun 28 10:17:16 nto PU4: INFO	System	PLog2 300000 ms: tL1: 56 tL2: 56 tL3: 55 tCb: 50 tAc: 31 tDc: 23 
Jun 28 10:17:16 nto PU4: INFO	System	PLog3 300000 ms: iL1: 147 iL2: 147 iL3: 146 vL12: 388 vL23: 387 vL31: 387 f: 50.00 
Jun 28 10:17:16 nto PU2: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 662 Idc: 138 Pdc: 91554 Pac: 89420 Wh: 7451 IdLim: 1.00 Phi: 0.00 
Jun 28 10:17:16 nto PU2: INFO	System	PLog2 300000 ms: tL1: 51 tL2: 51 tL3: 51 tCb: 53 tAc: 30 tDc: 23 
Jun 28 10:17:16 nto PU2: INFO	System	PLog3 300000 ms: iL1: 133 iL2: 133 iL3: 133 vL12: 388 vL23: 387 vL31: 387 f: 50.00 
Jun 28 10:17:18 nto PU1: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 647 Idc: 145 Pdc: 94329 Pac: 91968 Wh: 7664 IdLim: 1.00 Phi: 0.00 
Jun 28 10:17:18 nto PU1: INFO	System	PLog2 300000 ms: tL1: 49 tL2: 49 tL3: 50 tCb: 51 tAc: 30 tDc: 23 
Jun 28 10:17:18 nto PU1: INFO	System	PLog3 300000 ms: iL1: 137 iL2: 137 iL3: 137 vL12: 387 vL23: 387 vL31: 387 f: 50.00 
Jun 28 10:17:56 nto CI: INFO	sd	sd: READ - </configuration> Key Id 1105 (DATA_KEY_ID_PU1_PAC) <Float32> == 92205.500000
Jun 28 10:17:57 nto CI: INFO	sd	sd: READ - </configuration> Key Id 1205 (DATA_KEY_ID_PU2_PAC) <Float32> == 89452.500000
Jun 28 10:17:57 nto CI: INFO	sd	sd: READ - </configuration> Key Id 1305 (DATA_KEY_ID_PU3_PAC) <Float32> == 101569.500000
Jun 28 10:17:57 nto CI: INFO	sd	sd: READ - </configuration> Key Id 1405 (DATA_KEY_ID_PU4_PAC) <Float32> == 99001.500000
Jun 28 10:17:58 nto CI: INFO	sd	sd: READ - </configuration> Key Id 1000 (DATA_KEY_ID_INVERTER_PAC_TOTAL) <Float32> == 381561.500000
Jun 28 10:18:49 nto CI: INFO	iumanager	iumanager: Ambient temperature change from 28.8 to 30.9
Jun 28 10:19:19 nto CI: INFO	iumanager	iumanager: Ambient temperature change from 30.9 to 32.9
Jun 28 10:20:03 nto CI: INFO	OSLog1	MEM: 64423120 12996608 7190212 PROC:  
Jun 28 10:20:51 nto CI: INFO	iumanager	iumanager: Ambient temperature change from 32.9 to 35.5
Jun 28 10:21:11 nto CI: INFO	iumanager	iumanager: Ambient temperature change from 35.5 to 38.3
