Jun 20 14:15:24 rx10025878 syslogd: restart
Jun 20 14:19:55 nto PU1: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:19:55 nto PU1: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153193 Current Voltage: 683 
Jun 20 14:19:55 nto PU1: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153038 Current Voltage: 684 
Jun 20 14:19:55 nto PU1: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:19:55 nto PU1: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 152967 Current Voltage: 685 
Jun 20 14:20:03 nto CI: INFO	OSLog1	MEM: 64414928 13041664 7190212 PROC:  
Jun 20 14:20:14 nto PU2: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 673 Idc: 198 Pdc: 133457 Pac: 130362 Wh: 10863 IdLim: 1.00 Phi: 0.00 
Jun 20 14:20:14 nto PU2: INFO	System	PLog2 300000 ms: tL1: 51 tL2: 51 tL3: 51 tCb: 51 tAc: 38 tDc: 23 
Jun 20 14:20:14 nto PU2: INFO	System	PLog3 300000 ms: iL1: 192 iL2: 192 iL3: 193 vL12: 390 vL23: 390 vL31: 391 f: 50.01 
Jun 20 14:20:15 nto PU3: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 679 Idc: 210 Pdc: 143022 Pac: 139828 Wh: 11652 IdLim: 1.00 Phi: 0.00 
Jun 20 14:20:15 nto PU3: INFO	System	PLog2 300000 ms: tL1: 53 tL2: 54 tL3: 55 tCb: 53 tAc: 38 tDc: 23 
Jun 20 14:20:15 nto PU3: INFO	System	PLog3 300000 ms: iL1: 206 iL2: 207 iL3: 206 vL12: 391 vL23: 389 vL31: 391 f: 50.00 
Jun 20 14:20:15 nto PU4: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 694 Idc: 213 Pdc: 148464 Pac: 144085 Wh: 12007 IdLim: 1.00 Phi: 0.00 
Jun 20 14:20:15 nto PU4: INFO	System	PLog2 300000 ms: tL1: 54 tL2: 55 tL3: 54 tCb: 53 tAc: 37 tDc: 23 
Jun 20 14:20:15 nto PU4: INFO	System	PLog3 300000 ms: iL1: 213 iL2: 213 iL3: 212 vL12: 390 vL23: 389 vL31: 391 f: 50.01 
Jun 20 14:20:16 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153190 Current Voltage: 692 
Jun 20 14:20:16 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 20 14:20:16 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 153185 Current Voltage: 693 
Jun 20 14:20:16 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 153330 Current Voltage: 697 
