Jun 14 08:45:24 rx10025878 syslogd: restart
Jun 14 08:47:20 nto CI: INFO	iumanager	iumanager: Ambient temperature change from 33.4 to 31.3
Jun 14 08:48:00 nto CI: INFO	statistics	statistics: write: 18 day chart jobs in 782 ms - 43 ms/job
Jun 14 08:48:02 nto CI: INFO	statistics	statistics: write: 6 day chart jobs in 557 ms - 92 ms/job
Jun 14 08:50:03 nto CI: INFO	OSLog1	MEM: 63833296 12996608 7190212 PROC:  
Jun 14 08:50:10 nto PU2: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 707 Idc: 28 Pdc: 20108 Pac: 19521 Wh: 1626 IdLim: 1.00 Phi: 0.00 
Jun 14 08:50:10 nto PU2: INFO	System	PLog2 300000 ms: tL1: 52 tL2: 53 tL3: 52 tCb: 48 tAc: 33 tDc: 23 
Jun 14 08:50:10 nto PU2: INFO	System	PLog3 300000 ms: iL1: 29 iL2: 29 iL3: 29 vL12: 386 vL23: 386 vL31: 386 f: 50.01 
Jun 14 08:50:11 nto PU4: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 694 Idc: 33 Pdc: 23175 Pac: 22671 Wh: 1889 IdLim: 1.00 Phi: 0.00 
Jun 14 08:50:11 nto PU4: INFO	System	PLog2 300000 ms: tL1: 57 tL2: 59 tL3: 56 tCb: 48 tAc: 35 tDc: 23 
Jun 14 08:50:11 nto PU4: INFO	System	PLog3 300000 ms: iL1: 33 iL2: 33 iL3: 33 vL12: 386 vL23: 386 vL31: 386 f: 50.00 
Jun 14 08:50:11 nto PU3: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 702 Idc: 31 Pdc: 21967 Pac: 21322 Wh: 1776 IdLim: 1.00 Phi: 0.00 
Jun 14 08:50:11 nto PU3: INFO	System	PLog2 300000 ms: tL1: 56 tL2: 58 tL3: 56 tCb: 49 tAc: 34 tDc: 23 
Jun 14 08:50:11 nto PU3: INFO	System	PLog3 300000 ms: iL1: 31 iL2: 32 iL3: 31 vL12: 386 vL23: 386 vL31: 386 f: 50.01 
Jun 14 08:50:13 nto PU1: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 690 Idc: 29 Pdc: 20382 Pac: 19308 Wh: 1609 IdLim: 1.00 Phi: 0.00 
Jun 14 08:50:13 nto PU1: INFO	System	PLog2 300000 ms: tL1: 52 tL2: 52 tL3: 52 tCb: 48 tAc: 31 tDc: 23 
