Jun 29 07:30:23 rx10025878 syslogd: restart
Jun 29 07:30:54 nto login: ROOT LOGIN (root) ON ttyp0 FROM 192.168.125.100
Jun 29 07:30:58 nto CI: INFO	rxsetup.sh	--uptime 
Jun 29 07:36:42 nto PU2: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 700 Idc: 22 Pdc: 15887 Pac: 15220 Wh: 1268 IdLim: 1.00 Phi: 0.00 
Jun 29 07:36:42 nto PU2: INFO	System	PLog2 300000 ms: tL1: 41 tL2: 41 tL3: 40 tCb: 42 tAc: 25 tDc: 23 
Jun 29 07:36:42 nto PU2: INFO	System	PLog3 300000 ms: iL1: 22 iL2: 22 iL3: 21 vL12: 393 vL23: 393 vL31: 393 f: 49.99 
Jun 29 07:36:43 nto PU1: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 705 Idc: 22 Pdc: 15969 Pac: 15356 Wh: 1279 IdLim: 1.00 Phi: 0.00 
Jun 29 07:36:43 nto PU1: INFO	System	PLog2 300000 ms: tL1: 40 tL2: 40 tL3: 40 tCb: 41 tAc: 25 tDc: 23 
Jun 29 07:36:43 nto PU1: INFO	System	PLog3 300000 ms: iL1: 21 iL2: 22 iL3: 21 vL12: 392 vL23: 392 vL31: 393 f: 49.99 
Jun 29 07:38:19 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 362 ms - 72 ms/job
Jun 29 07:40:03 nto CI: INFO	OSLog1	MEM: 64435408 12996608 7190212 PROC:  
Jun 29 07:41:42 nto PU4: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 703 Idc: 27 Pdc: 19235 Pac: 18665 Wh: 1555 IdLim: 1.00 Phi: 0.00 
Jun 29 07:41:42 nto PU4: INFO	System	PLog2 300000 ms: tL1: 43 tL2: 44 tL3: 42 tCb: 42 tAc: 26 tDc: 23 
Jun 29 07:41:42 nto PU4: INFO	System	PLog3 300000 ms: iL1: 27 iL2: 27 iL3: 27 vL12: 391 vL23: 391 vL31: 391 f: 49.96 
Jun 29 07:41:43 nto PU3: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 703 Idc: 26 Pdc: 18401 Pac: 17566 Wh: 1463 IdLim: 1.00 Phi: 0.00 
Jun 29 07:41:43 nto PU3: INFO	System	PLog2 300000 ms: tL1: 42 tL2: 43 tL3: 42 tCb: 43 tAc: 26 tDc: 23 
Jun 29 07:41:43 nto PU3: INFO	System	PLog3 300000 ms: iL1: 25 iL2: 26 iL3: 25 vL12: 391 vL23: 390 vL31: 391 f: 49.96 
Jun 29 07:41:43 nto PU2: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 714 Idc: 23 Pdc: 17086 Pac: 16493 Wh: 1374 IdLim: 1.00 Phi: 0.00 
Jun 29 07:41:43 nto PU2: INFO	System	PLog2 300000 ms: tL1: 42 tL2: 43 tL3: 42 tCb: 42 tAc: 26 tDc: 23 
Jun 29 07:41:43 nto PU2: INFO	System	PLog3 300000 ms: iL1: 24 iL2: 24 iL3: 23 vL12: 391 vL23: 391 vL31: 391 f: 49.96 
Jun 29 07:41:44 nto PU1: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 706 Idc: 24 Pdc: 17294 Pac: 16407 Wh: 1367 IdLim: 1.00 Phi: 0.00 
Jun 29 07:41:44 nto PU1: INFO	System	PLog2 300000 ms: tL1: 42 tL2: 42 tL3: 41 tCb: 42 tAc: 25 tDc: 23 
Jun 29 07:41:44 nto PU1: INFO	System	PLog3 300000 ms: iL1: 24 iL2: 24 iL3: 24 vL12: 391 vL23: 391 vL31: 391 f: 49.96 
Jun 29 07:45:04 rx10025878 syslogd: restart
Jun 29 07:45:07 nto CI: INFO	OSLog1	MEM: 66204880 14495744 5711556 PROC:  
Jun 29 07:45:09 rx10025878 syslogd: restart
Jun 29 07:45:12 rx10025878 syslogd: restart
Jun 29 07:45:16 rx10025878 syslogd: restart
Jun 29 07:45:19 rx10025878 syslogd: restart
