Jun 29 07:45:23 rx10025878 syslogd: restart
Jun 29 07:45:51 nto CI: INFO	iumanager	iumanager: Ambient temperature change from 22.2 to 24.2
Jun 29 07:46:43 nto PU4: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 707 Idc: 34 Pdc: 24121 Pac: 23824 Wh: 1985 IdLim: 1.00 Phi: 0.00 
Jun 29 07:46:43 nto PU4: INFO	System	PLog2 300000 ms: tL1: 45 tL2: 46 tL3: 43 tCb: 42 tAc: 28 tDc: 23 
Jun 29 07:46:43 nto PU4: INFO	System	PLog3 300000 ms: iL1: 34 iL2: 35 iL3: 34 vL12: 392 vL23: 392 vL31: 392 f: 50.00 
Jun 29 07:46:44 nto PU3: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 703 Idc: 32 Pdc: 23180 Pac: 22552 Wh: 1879 IdLim: 1.00 Phi: 0.00 
Jun 29 07:46:44 nto PU3: INFO	System	PLog2 300000 ms: tL1: 44 tL2: 45 tL3: 44 tCb: 43 tAc: 27 tDc: 23 
Jun 29 07:46:44 nto PU3: INFO	System	PLog3 300000 ms: iL1: 32 iL2: 33 iL3: 32 vL12: 392 vL23: 391 vL31: 392 f: 50.00 
Jun 29 07:46:44 nto PU2: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 715 Idc: 30 Pdc: 21523 Pac: 20618 Wh: 1718 IdLim: 1.00 Phi: 0.00 
Jun 29 07:46:44 nto PU2: INFO	System	PLog2 300000 ms: tL1: 44 tL2: 45 tL3: 43 tCb: 42 tAc: 27 tDc: 23 
Jun 29 07:46:44 nto PU2: INFO	System	PLog3 300000 ms: iL1: 30 iL2: 30 iL3: 30 vL12: 392 vL23: 391 vL31: 392 f: 50.00 
Jun 29 07:46:45 nto PU1: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 706 Idc: 30 Pdc: 21712 Pac: 20738 Wh: 1728 IdLim: 1.00 Phi: 0.00 
Jun 29 07:46:45 nto PU1: INFO	System	PLog2 300000 ms: tL1: 43 tL2: 43 tL3: 43 tCb: 42 tAc: 27 tDc: 23 
Jun 29 07:46:45 nto PU1: INFO	System	PLog3 300000 ms: iL1: 30 iL2: 30 iL3: 30 vL12: 392 vL23: 392 vL31: 392 f: 49.99 
Jun 29 07:47:04 nto CI: INFO	statistics	statistics: write: 15 statistics jobs in 1571 ms - 104 ms/job
Jun 29 07:47:04 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 507 ms - 101 ms/job
Jun 29 07:48:01 nto CI: INFO	statistics	statistics: write: 20 day chart jobs in 782 ms - 39 ms/job
Jun 29 07:48:01 nto CI: INFO	statistics	statistics: write: 4 day chart jobs in 625 ms - 156 ms/job
Jun 29 07:50:03 nto CI: INFO	OSLog1	MEM: 64443600 12996608 7190212 PROC:  
Jun 29 07:50:19 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 397 ms - 79 ms/job
Jun 29 07:51:45 nto PU4: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 708 Idc: 37 Pdc: 26263 Pac: 25572 Wh: 2131 IdLim: 1.00 Phi: 0.00 
Jun 29 07:51:45 nto PU4: INFO	System	PLog2 300000 ms: tL1: 47 tL2: 49 tL3: 46 tCb: 43 tAc: 28 tDc: 23 
Jun 29 07:51:45 nto PU4: INFO	System	PLog3 300000 ms: iL1: 37 iL2: 37 iL3: 37 vL12: 389 vL23: 389 vL31: 389 f: 49.97 
