Jun 08 21:12:51 nto PU2: INFO	System	PLog2 300000 ms: tL1: 49 tL2: 49 tL3: 48 tCb: 53 tAc: 40 tDc: 23 
Jun 08 21:12:51 nto PU2: INFO	System	PLog3 300000 ms: iL1: 1 iL2: 1 iL3: 1 vL12: 389 vL23: 388 vL31: 389 f: 49.98 
Jun 08 21:12:54 nto PU1: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 587 Idc: 2 Pdc: 1583 Pac: 1248 Wh: 104 IdLim: 0.95 Phi: 0.00 
Jun 08 21:12:54 nto PU1: INFO	System	PLog2 300000 ms: tL1: 49 tL2: 49 tL3: 49 tCb: 53 tAc: 38 tDc: 23 
Jun 08 21:12:54 nto PU1: INFO	System	PLog3 300000 ms: iL1: 1 iL2: 1 iL3: 1 vL12: 388 vL23: 388 vL31: 389 f: 49.99 
Jun 08 21:13:49 nto CI: INFO	statistics	statistics: write: 20 statistics jobs in 1007 ms - 50 ms/job
Jun 08 21:14:20 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 485 ms - 97 ms/job
Jun  8 21:15:04 rx10025878 syslogd: restart
Jun 08 21:15:07 nto CI: INFO	OSLog1	MEM: 65729744 14495744 5711556 PROC:  
Jun  8 21:15:08 rx10025878 syslogd: restart
Jun  8 21:15:12 rx10025878 syslogd: restart
Jun  8 21:15:16 rx10025878 syslogd: restart
Jun  8 21:15:19 rx10025878 syslogd: restart
