Jun 29 13:00:24 rx10025878 syslogd: restart
Jun 29 13:06:11 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:11 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146690 Current Voltage: 602 
Jun 29 13:06:11 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146696 Current Voltage: 603 
Jun 29 13:06:11 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:11 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146639 Current Voltage: 603 
Jun 29 13:06:12 nto CI: INFO	iumanager	iumanager:   INVERTER STATUS 20010   INVERTER SUBCODE 0   RunLevel 0   StatusCodePriority 9
Jun 29 13:06:13 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146616 Current Voltage: 604 
Jun 29 13:06:13 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:13 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146481 Current Voltage: 604 
Jun 29 13:06:13 nto CI: INFO	iumanager	iumanager:   INVERTER STATUS 20008   INVERTER SUBCODE 0   RunLevel 0   StatusCodePriority 6
Jun 29 13:06:15 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146692 Current Voltage: 604 
Jun 29 13:06:15 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:15 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146551 Current Voltage: 603 
Jun 29 13:06:18 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146567 Current Voltage: 601 
Jun 29 13:06:18 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:18 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146482 Current Voltage: 602 
Jun 29 13:06:21 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146240 Current Voltage: 600 
Jun 29 13:06:21 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:21 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146419 Current Voltage: 601 
Jun 29 13:06:23 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146392 Current Voltage: 600 
Jun 29 13:06:23 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:23 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146483 Current Voltage: 600 
Jun 29 13:06:23 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146446 Current Voltage: 602 
Jun 29 13:06:23 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:23 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146296 Current Voltage: 603 
Jun 29 13:06:25 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146551 Current Voltage: 602 
Jun 29 13:06:25 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:25 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146485 Current Voltage: 602 
Jun 29 13:06:28 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146583 Current Voltage: 601 
Jun 29 13:06:28 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:28 nto PU4: DEBUG	Mppt	IdleTracker: RUNNING Current Power: 146517 Current Voltage: 606 
Jun 29 13:06:28 nto PU4: DEBUG	Mppt	IdleTracker: COMPLETED 
Jun 29 13:06:28 nto PU4: DEBUG	Mppt	FraunhoferIseTracker: RUNNING Current Power: 146287 Current Voltage: 607 
