Jun 29 08:57:00 nto PU2: INFO	System	PLog2 300000 ms: tL1: 56 tL2: 57 tL3: 56 tCb: 47 tAc: 35 tDc: 23 
Jun 29 08:57:00 nto PU2: INFO	System	PLog3 300000 ms: iL1: 39 iL2: 40 iL3: 39 vL12: 390 vL23: 390 vL31: 391 f: 49.97 
Jun 29 08:57:01 nto PU1: INFO	System	PLog1 300000 ms: 0 20008 Vdc: 699 Idc: 39 Pdc: 27961 Pac: 27064 Wh: 2255 IdLim: 1.00 Phi: 0.00 
Jun 29 08:57:01 nto PU1: INFO	System	PLog2 300000 ms: tL1: 56 tL2: 56 tL3: 55 tCb: 46 tAc: 35 tDc: 23 
Jun 29 08:57:01 nto PU1: INFO	System	PLog3 300000 ms: iL1: 39 iL2: 40 iL3: 39 vL12: 391 vL23: 391 vL31: 391 f: 49.98 
Jun 29 08:59:03 nto CI: INFO	statistics	statistics: write: 15 statistics jobs in 788 ms - 52 ms/job
Jun 29 08:59:03 nto CI: INFO	statistics	statistics: write: 5 statistics jobs in 322 ms - 64 ms/job
Jun 29 09:00:02 nto CI: INFO	statistics	statistics: write: 24 day chart jobs in 1691 ms - 70 ms/job
Jun 29 09:00:05 rx10025878 syslogd: restart
Jun 29 09:00:09 nto CI: INFO	OSLog1	MEM: 66475216 14495744 5711556 PROC:  
Jun 29 09:00:09 rx10025878 syslogd: restart
Jun 29 09:00:13 rx10025878 syslogd: restart
Jun 29 09:00:16 rx10025878 syslogd: restart
Jun 29 09:00:20 rx10025878 syslogd: restart
